   TIME     MODE     Q              P     KINETIC      POTENTIAL          TOTAL
   50.5000  L 1      0.173771 -0.115669   0.00841      -56.52928      -56.52087
   50.7500  L 1      0.144662 -0.117178   0.00833      -56.52920      -56.52087
   51.0000  L 1      0.115199 -0.118494   0.00821      -56.52908      -56.52087
   51.2500  L 1      0.085434 -0.119588   0.00808      -56.52896      -56.52087
   51.5000  L 1      0.055426 -0.120431   0.00797      -56.52885      -56.52087
   51.7500  L 1      0.025242 -0.121000   0.00789      -56.52876      -56.52087
   52.0000  L 1     -0.005049 -0.121274   0.00785      -56.52872      -56.52087
   52.2500  L 1     -0.035369 -0.121238   0.00786      -56.52873      -56.52087
   52.5000  L 1     -0.065641 -0.120882   0.00791      -56.52878      -56.52087
   52.7500  L 1     -0.095783 -0.120198   0.00801      -56.52888      -56.52087
   53.0000  L 1     -0.125712 -0.119184   0.00813      -56.52901      -56.52087
   53.2500  L 1     -0.155347 -0.117844   0.00827      -56.52914      -56.52087
   53.5000  L 1     -0.184607 -0.116183   0.00840      -56.52927      -56.52087
   53.7500  L 1     -0.213413 -0.114214   0.00850      -56.52937      -56.52087
   54.0000  L 1     -0.241689 -0.111950   0.00854      -56.52941      -56.52087
   54.2500  L 1     -0.269364 -0.109410   0.00850      -56.52937      -56.52087
   54.5000  L 1     -0.296372 -0.106616   0.00837      -56.52924      -56.52087
   54.7500  L 1     -0.322652 -0.103588   0.00813      -56.52901      -56.52087
   55.0000  L 1     -0.348148 -0.100350   0.00778      -56.52865      -56.52087
   55.2500  L 1     -0.372810 -0.096921   0.00732      -56.52819      -56.52087
   55.5000  L 1     -0.396592 -0.093320   0.00676      -56.52763      -56.52087
   55.7500  L 1     -0.419455 -0.089560   0.00612      -56.52700      -56.52087
   56.0000  L 1     -0.441358 -0.085647   0.00543      -56.52630      -56.52087
   56.2500  L 1     -0.462264 -0.081584   0.00472      -56.52559      -56.52087
   56.5000  L 1     -0.482135 -0.077363   0.00401      -56.52489      -56.52087
   56.7500  L 1     -0.500930 -0.072971   0.00335      -56.52422      -56.52087
   57.0000  L 1     -0.518604 -0.068389   0.00275      -56.52363      -56.52087
   57.2500  L 1     -0.535106 -0.063594   0.00225      -56.52312      -56.52087
   57.5000  L 1     -0.550381 -0.058563   0.00184      -56.52271      -56.52087
   57.7500  L 1     -0.564366 -0.053269   0.00153      -56.52240      -56.52087
   58.0000  L 1     -0.576992 -0.047694   0.00132      -56.52219      -56.52087
   58.2500  L 1     -0.588188 -0.041821   0.00119      -56.52206      -56.52087
   58.5000  L 1     -0.597877 -0.035640   0.00113      -56.52201      -56.52087
   58.7500  L 1     -0.605981 -0.029147   0.00112      -56.52200      -56.52087
   59.0000  L 1     -0.612424 -0.022349   0.00115      -56.52202      -56.52087
   59.2500  L 1     -0.617130 -0.015261   0.00119      -56.52206      -56.52087
   59.5000  L 1     -0.620031 -0.007906   0.00124      -56.52212      -56.52087
   59.7500  L 1     -0.621064 -0.000318   0.00130      -56.52217      -56.52087
   60.0000  L 1     -0.620175  0.007462   0.00135      -56.52222      -56.52087
   60.2500  L 1     -0.617322  0.015388   0.00141      -56.52229      -56.52087
   60.5000  L 1     -0.612474  0.023409   0.00149      -56.52236      -56.52087
   60.7500  L 1     -0.605615  0.031470   0.00159      -56.52246      -56.52087
   61.0000  L 1     -0.596741  0.039515   0.00173      -56.52260      -56.52087
   61.2500  L 1     -0.585864  0.047488   0.00192      -56.52279      -56.52087
   61.5000  L 1     -0.573009  0.055334   0.00217      -56.52304      -56.52087
   61.7500  L 1     -0.558213  0.062997   0.00248      -56.52335      -56.52087
   62.0000  L 1     -0.541530  0.070425   0.00286      -56.52373      -56.52087
   62.2500  L 1     -0.523025  0.077568   0.00331      -56.52418      -56.52087
   62.5000  L 1     -0.502774  0.084379   0.00383      -56.52470      -56.52087
   62.7500  L 1     -0.480867  0.090816   0.00440      -56.52527      -56.52087
